                           Multiple Comparison of Means - Tukey HSD, FWER=0.05                            
==========================================================================================================
              group1                            group2              meandiff p-adj  lower    upper  reject
                         addition                          williams   3.9694   0.9 -43.0814 51.0201  False
                         addition                              work   0.4694   0.9 -52.1349 53.0737  False
                           advise                           african  -5.6603   0.9 -50.2965  38.976  False
                           advise                        aftertaste   6.6651   0.9 -22.0771 35.4073  False
                           advise                             alley  -6.4117   0.9 -60.0578 47.2344  False
                           advise                          american  -6.3175   0.9 -43.7615 31.1265  False
                           advise                           analyze  -5.6334   0.9  -53.846 42.5793  False
                           advise                           approve  -0.7472   0.9 -54.3933 52.8989  False
                           advise                           aquatic   2.8877   0.9 -25.9249 31.7002  False
                           advise                               ask  -4.8936   0.9  -34.779 24.9919  False
                           advise                            attach     0.52   0.9 -30.1533 31.1933  False
                           advise                        attachment  -2.5819   0.9  -41.238 36.0742  False
                           advise                            attend  -4.7057   0.9 -52.9183  43.507  False
                           advise                           autopsy  -0.6861   0.9  -26.529 25.1569  False
                           advise                                be  -1.1902   0.9 -26.9797 24.5994  False
                           advise                            behold   1.2119   0.9 -29.1124 31.5363  False
                           advise                      belmont_park  -3.5342   0.9 -51.7468 44.6785  False
                           advise                              belt  -5.3531   0.9 -53.5658 42.8595  False
                           advise                           bespeak  -5.6913   0.9 -47.7748 36.3921  False
                           advise                              best  -2.6778   0.9 -37.5716 32.2159  False
                           advise                            boards  -6.2038   0.9 -59.8499 47.4423  False
                           advise                     boundary_line  -5.7461   0.9 -43.1902 31.6979  False
                           advise                            breach  -5.8365   0.9 -59.4826 47.8096  False
                           advise                       bureaucracy  -5.3676   0.9 -45.5284 34.7932  False
                           advise                               buy  -3.4967   0.9 -48.1329 41.1395  False
                           advise                             cable  -0.1651   0.9 -27.3767 27.0464  False
                           advise                        california  -1.3551   0.9 -27.6731 24.9628  False
                           advise                               can  -5.0098   0.9 -35.5022 25.4825  False
                           advise                          capacity  -3.5971   0.9 -38.4908 31.2967  False
                           advise                            column  -5.6061   0.9 -45.7669 34.5547  False
                           advise                              come  -5.9794   0.9 -50.6157 38.6568  False
                           advise                       communicate  -5.1346   0.9 -58.7807 48.5114  False
                           advise                           company   -1.856   0.9 -28.7055 24.9934  False
                           advise                       competition   1.3237   0.9 -27.4185 30.0659  False
                           advise                           concern  -6.3261   0.9 -54.5387 41.8866  False
                           advise                        conference  -3.1352   0.9  -29.616 23.3456  False
                           advise                        conformity  -5.2616   0.9 -58.9077 48.3845  False
                           advise                         consensus   8.3943   0.9 -39.8184 56.6069  False
                           advise                          continue  -6.1061   0.9 -59.7522 47.5399  False
                           advise                            cooler  -3.2104   0.9 -47.8466 41.4258  False
                           advise                              crap   0.6692   0.9 -30.1996  31.538  False
                           advise                           current   -6.173   0.9  -59.819 47.4731  False
                           advise                              data  -0.4426   0.9 -26.3607 25.4755  False
                           advise                               day  -4.0154   0.9 -31.4504 23.4197  False
                           advise                          deadline  -3.5732   0.9  -43.734 36.5876  False
                           advise                              deal   0.4581   0.9 -26.0914 27.0076  False
                           advise                              deem  -5.8994   0.9  -38.377 26.5782  False
                           advise                       delinquency  -3.4059   0.9 -30.6504 23.8386  False
